Date,Author,Title
1946,"Thomas, Henry; Thomas, Dana Lee","Living Biographies of Great Philosophers (Plato, including Socrates; Aristotle; Epicurus; Aquinas; Francis Bacon; Descartes; Spinoza;  Locke; Hume; Voltaire; Kant; Hegel; Schopenhauer; Emerson; Spencer; Nietzsche; William James; Bergson; Santayana)"
1947,"Fielding, Henry",Joseph Andrews
1947,"Koestler, Arthur",Darkness at Noon
1947,"Lindsay, A. D.",Karl Marx's Capital: An Introductory Essay
1947,"Macphail, Ian Shaw; Goddard, Scott; Barbirolli, John",You and the Orchestra
1947,"Macphall, Ian Shaw",You and the Orchestra
1947,"Sterne, Laurence",The Life & Opinios of Tristam Shandy Gentleman
1948,"Radhakrishnan, S",The Bhagavadgita
1949,"Forster, E. M.",Aspects of the Novel
1949,"Goethe, Johann Wolfgang von",Faust I
1949,"Goethe, Johann Wolfgang von",Faust II
1949,"Montague, C. E.",A Writer's Notes on his Trade
1949,"Shakespeare, William ","The Sonnets, and a Lover's Complaint"
1949,"Toynbee, Arnold J. ",A Study of History: Abridgement of Volumes I-VI by Somervell
1950,"Augustine, Saint",The City of God
1950,"Donne, John",John Donne: A Selection of His Poetry
1950,"Esmond, Henry; Thackeray, W. M. (ed)","The History of Henry Esmond, Esq. "
1950,"Fitzgerald, F. Scott",The Great Gatsby
1950,"Galton, Francis",Hereditary Genius
1950,"Gibbon, Edward",Autobiography of Edward Gibbon
1950,"Orpen, Sir William (Ed.)",The Outline of Art
1951,"Chaucer, Geoffrey",The Canterbury Tales
1951,"Pink, Alderton M.",Points of View: A selection of Provocative Prose
1951,"Steinbeck, John",The Grapes of Wrath
1951,"Sullivan, J. W. N. ",Beethoven
1951,,The Oxford Book of Seventeenth Century Verse
1952,"Anderson, R. C. ",Naval Wars in the Levant (1559-1853)
1952,"Aquinas, Saint Thomas",Great Books of the Western World [19]: The Summa Theologica (Volume I: First part and Part I of the second part)
1952,"Augustine, Saint",Great Books of the Western World [18]: The Confessions; The City of God; On Christian Doctrine
1952,"Dewey, Thomas E.",Journey to the Far Pacific
1952,"Dostoevsky, Fyodor Mikhailovich",Great Books of the Western World [52]: The Brothers Karamazov
1952,"Gorky, Maxim",The Artamonovs
1952,"Heffner, Richard D.",A documentary History of the United States: An Expanded Edition
1952,"Hegel, Georg Wilhelm Friedrich",Great Books of the Western World [46]: The Philosophy of Right; The Philosophy of History
1952,"Kant, Immanuel",Great Books of the Western World [42]: The Critique of Pure Reason; The Critique of Practical Reason; Preface/introductrion to Metaphysical Elements of Ethics; General Introduction to the Metaphysic of Morals; The Science of Right; The Critique of Judgement
1952,Plotinus,Great Books of the Western World [15]: The Six Enneads
1953,"Cross, Milton; Ewen, David",Encyclopedia of the Great Composers and Their Music: Volume II
1953,"Cross, Milton; Ewen, David",Encyclopedia of the Great Composers and Their Music: Volume I
1953,"Lorenz, Konrad Z.",King Solomon's Ring
1954,Herodotus,The Histories
1954,"Herrmann, Paul",Conquest by Man: The Saga of Early Exploration and Discovery
1955,"Camus, Albert",The Myth of Sisyphus
1955,"Graves, Robert; Hodge, Alan",The Reader Over Your Shoulder: A Handbook for Writers of English Prose
1955,"Heller, Joseph",Catch 22
1955,"Joyce, James",Ulysses
1956,"Benchley, Nathaniel",The Benchley Roundup
1956,"Galsworthy, John",The Forsyte Saga
1956,"Marvell, Andrew",The Poems of Andrew Marvell
1956,Plato,The Republic; Apology; Crito; Phaedo; Ion; Meno; Symposium
1956,,Penguin Book of English Verse
1957,Euripides; Sophocles,Euripides' Cyclops; Sophocles' Ichneutai
1957,"Smyth, W. M. (Selected by)","Poems of Spirit and Action (Nash, Carroll, Eliot, Glover, Longfellow...)"
1957,Suetonius,"The Twelve Caesars  (Caesar, Augustus, Tiberius, Gaius Caligula, Claudius, Nero, Galba, Otho, Vitellius, Vespasian, Titus, Domitian)"
1957,"Taviani, Paolo Emilio",Solidarietà Atlantica e Comunità Europea 
1957,"Thomson, Lucy Gertsch (Compiled by)",Somewhere I've read...
1957,"Wood, H. J.",Exploration and Discovery
1957,,Penguin Book of French Verse: 3
1958,"Blake, William",A Selection of Poems and Letters
1958,Euripides (Ed. by David Grene and Richmond Lattimore),The Complete Greek Tragedies:  Volume IV (Euripides)
1958,"Galbraith, John Kenneth",The Affluent Society
1958,"Toynbee, Arnold",East to West
1959,Aeschylus ,The Oresteian Trilogy
1959,"Harris, C. C. ",Introductory exercises in comprehension and expression
1959,"Wordsworth, William",The Prelude or Growth of a Poet's Mind
1959,,Eagle Book of Ships and Boats
1960,"Boswell, James",The Life of Samuel Johnson 
1960,Cicero,Selected Works
1960,Livy,The Early History of Rome
1961,"Dahl, Roald",Someone Like  You
1961,"Gogol, Nikolai",Dead Souls
1961,"Mann, Thomas",Little Herr Friedemann
1962,"Freud, Sigmund",Two Short Accounts of Psycho-Analysis
1962,"Huxley, Aldous",Island
1962,"Spengler, Oswald",The Decline of the West (abridged; ed. by Helmut Werner)
1963,"Bacons, Sir Francis; Swift, J.; Hume, Plutarch, Stevenson, Ruskin, William James, Schopoenhauer, Faraday, Burke, Calhoun, Macaulay, Voltaire, Alighieri, Rousseau, Kant, Clausewitz, Malthus (Ed. by Hutchins, R. M., Adler, M. J)",Gateway to the Great Books [7]: Man and Society 
1963,"Berlin, Isaiah",Karl Marx: His life and environment
1963,"Dickens, Charles",Great Expectations
1963,"Farago, Ladislas",Patton: Ordeal and Triumph
1963,"George, Peter",Dr. Strangelove or: How I learned to stop worrying and love the bomb
1963,"Lenin, Vladimir",What is to be Done?
1963,"Orwell, George",The Road to Wigan Pier
1963,"Ruskin, John",The Seven Lamps of Architecture
1963,"Skeat, Rev. Walter W.",An Etymological Dictionary of the English Language
1963,"Solzhenitsyn, Alexander",One Day in the Life of Ivan Denisovich
1963,Vatsyayana; Plato,The Kama Sutra of Vatsyayana; The Phaedrus
1964,"Arendt, Hannah",Eichmann in Jerusalem
1964,Aristophanes,The Wasps; The Poet and the Women; The Frogs
1964,"Beaumarchais, Caron de",The Berber of Seville; The Marriage of Seville
1964,Horace,Odes of Horace
1964,"Joyce, James",A Portrait of the Artist as a Young Man
1964,"Jung, Carl",Man and His Symbols
1964,"Pearson, E. Norman","Space, Time, and Self"
1964,"Sabersky, Rolf H.; Acosta, Allan J. ",Fluid Flow in Fluid Mechanics
1965,Aristotle; Horace; Longinus,Classical Literary Criticism (Aristotle's On the Art of Poetry; Horace's On the Art of Poetry; Longinus' On the Sublime)
1965,"Scott, Sir Walter",Ivanhoe
1965,"Spiegl, Fritz",What the Papers didn't mean to say
1965,"Thoreau, Henry David",Walden and Civil Disobedience
1965,,"Landmarks of Western Art: Architecture, Painting, Sculpture"
1965,,The Upanishads
1966,"Brecht, Bertolt",Manual of Piety
1966,"Douglas, Bryan",Great Stories of Mystery and Imagination: Selected by...
1966,"Lasch, Christopher",The New Radicalism in America (1889-1963)
1966,"Leopardi, Giacomo",Selected Prose and Poetry
1966,"Mabie, Hamilton H.; Ocvirk, Fred W. ",Mechanisms and Dynamics of Machinery
1966,"Melville, Herman",The Confidence Man
1966,"Nietzsche, Friedrich (Kaufmann, Walter)",Basic Writings of Nietzsche 
1966,"Swift, Jonathan",Gulliver's Travels
1966,"Tolstoy, Lev",Resurrection
1967,"Marvell, Andrew",Selected Poetry of Andrew Marvell
1967,"Melville, Herman","Billy Budd, Sailor, & Other stories (including Bartleby)"
1967,"Wolfe, Tom",The Electric Kool-Aid Acid Test
1968,"Cellini, Benvenuto",The Life of Benvenuto Cellini
1968,"Clausewitz, Carl von",On War
1968,"Darwin, Charles",The Voyage of the 'Beagle'
1968,"Kafka, Franz",The Trial
1968,"Tolstoy, Lev","Childhood, Boyhood, Youth"
1968,,A pageant of history: The reigns of our kings and queens; Famous people and events in our history
1969,"Burke, Edmund",Reflections on the Revolution in France
1969,"Caesar, Julius","The Gallic War and Other Writings (Civil War; Alexandrine, African, and Spanish Wars; Fragments)"
1969,"Cervantes, Miguel de",The Adventures of Don Quixote de La Mancha
1969,"Chekhov, Anton","Chekhov Plays (Three Sisters, Uncle Vanya, The Cherry Orchard, Ivanov, The Sea-Gull)"
1969,"Hitler, Adolf",Mein Kampf
1969,Homer,The Iliad
1969,"Huxley, Aldous",Brave New World and Brave New World Revisited 
1969,"Kojeve, Alexandre; (Assembled by Bloom, Allan)",Introduction to the Reading of Hegel: Lectures on the Phenomology of Spirit
1969,"Nabokov, Vladimir",Ada
1969,"Poe, Edgar Allen",Selected Tales ( Fall of the House of Usher; Murders in the Rue Morgue; Mystery of Marie; MS. Found ; Berenice; Unparalleled Adventure; Descent into Maelstrom; Masque of Red Death; Pit and Pendulum; Tell-tale Heart; Gold-bug; Cask of Amontillado)
1969,Stendhal,The Red and The Black
1969,"Verne, Jules",Twenty Thousand Leagues Under the Sea
1969,Voltaire,"Candide and Other Tales (Zadig, Micromegas, Master Simple, Princess of Babylon)"
1970,Dante,The Divine Comedy 
1970,"Descartes, René",Philosophical Writings: A Selection 
1970,"Dickens, Charles",Oliver Twist
1970,"Freud, Sigmund",Introductory Lectures on Pscyho-Analysis
1970,"Gibbon, Edward",The Decline and Fall of the Roman Empire
1970,"Goethe, Johann Wolfgang von",Faust
1970,"Koestler, Arthur",Darkness at Noon
1970,"Lindsey, Hal",The Late Great Planet Earth
1970,"Machiavelli, Niccolò",The Discourses
1970,"Malraux, André",Man's Estate
1970,"Milton, John",Paradise Lost and Other Writings (Paradise Regained; Samson Agonistes; Comus; Lycidas)
1970,"Misc. (Hitler, Churchill, Deere, Marshall, McBride, Cecil Brown, Shirer, Macarthur)",Reader's Digest Illustrated Story of World War II
1970,"Orwell, George",Nineteen Eighty-Four
1970,"Paine, Tom",The Rights of Man and Other Writings
1970,"Reich, Wilhelm",The Mass Psychology of Fascism
1970,"Sartre, Jean Paul",The Age of Reason
1970,"Spenser, Edmund",Selected Poetry (from the Shepherds' Calendar; from Amoretti; Epithalamion; From the Faerie Queene)
1970,"Thoreau, Henry David",Walden
1970,"Wordsworth, William",The Prelude
1971,"Carlyle, Thomas",On Great Men
1971,"Eliot, T. S.",The Waste Land and Other Poems
1971,"Grossmith, George and Weedon",The Diary of a Nobody
1971,"Horne, Donald",The Lucky Country
1971,"Kierkegaard, Søren",Concluding Unscientific Postscript
1971,"Mann, Thomas",The Magic Mountain
1972,"Gardner, Helen (Selected by)",The Metaphysical Poets
1972,"Gogol, Nikolai Vasilevich",Diary of a Madman; The Nose; The Overcoat; How Ivan Ivanovich Quarrelled with Ivan Nikiforovich; Ivan Fyodorovich Shponka and his Aunt
1972,"Machiavelli, Niccolò",The Prince; Discourses on the First Decade of Titus Livius; The History of Florence; Familiar Letters
1972,"Nietzsche, Friedrich (Kaufmann, Walter)","The Portable Nietzsche: Twilight of the Idols, The Antichrist, Nietzsche Contra Wagner, Thus Spoke Zarathrustra"
1972,,The Union Prayerbook for Jewish Worship on the Sabbath Festivals and Daily Services
1973,"Gorky, Maxim",The Lower Depths
1973,"Kesey, Ken",One Flew Over the Cuckoo's Nest
1973,"Pynchon, Thomas",Gravity's Rainbow
1973,"Rousseau, Jean-Jacques",The Social Contract and Discourses
1974,"Byron, Lord",A Choice of Byron's Verse
1974,"Solzhenitsyn, Alexander",The Gulag Archipelago
1974,"Solzhenitsyn, Alexander Isayevich",Solzhenitsyn: A Documentary Record
1974,Sophocles,The Theban Plays (King Oedipus; Oedipus at Colonus; Antigone)
1974,"Thomas, Lewis",Lives of A Cell
1974,,Jewish Values: Israel Pocket Library
1975,"de Saint-Exupéry, Antoine","Wind, Sand & Stars"
1975,Demosthenes; Aeschines,The Treaty; The Crown
1975,"Liedloff, Jean",The Continuum Concept
1975,Maimonides (Moses Ben Maimon),Ethical Writings of Maimonides
1975,"Thomas, Dylan",Under Milk Wood
1976,"Derrida, Jacques",Of Grammatology
1976,"Hugo, Victor",Les Miserables
1976,,The Frank Muir Book: An irreverant companion to social history
1977,"Gogol, Nikolai",Taras Bulba
1977,"McClelland, James (Cartoonist)",Another Scrap of Paper: WWII in Contemporary Cartoons
1977,"Popper, Karl R.",The Logic of Scientific Discovery
1977,"Pushkin, Alexander",Eugene Onegin 
1979,"Hofstadter, Douglas R.","Gödel, Escher, Bach: an Eternal Golden Braid"
1979,"Joyce, James",Exiles: A Play in Three Acts
1979,"Morris, Edmund",The Rise of Theodore Roosevelt
1979,"Nabokov, Vladimir","Lolita, The Gift, Invitation to a Beheading, King Queen Knave, Glory"
1979,"Salinger, J. D. ",The Catcher in the Rye
1979,"Steinbeck, John",Tortilla Flat; The Red Pony; Of Mice and Men; The Moon is Down; Cannery Row; The Pearl
1980,"Gunston, Bill",An Illustrated Guide to Modern Fighters and Attack Aircraft
1980,"Kennedy, Ludovic",A Book of Railway Journeys: An anthology
1980,"Lorca, Federico Garcia",Deep Song and Other Prose
1980,"Thomas, Lewis",Late Night Thoughts on Listening to Mahler's Ninth Symphony
1981,"Frayn, Michael; Kennedy, Ludovic; Kington, Miles; Palin, Michael; Robson, Eric; Thompson, Brian; Wood, Michael",Great Railway Journeys of the World
1981,"Nabokov, Vladimir",Lectures on Russian Literature
1981,"Shirer, William L. ",The Rise and Fall of the Third Reich
1982,"Camus, Albert",The Outsider
1982,"Heller, Mikhail & Nekrich, Aleksandr",Utopia in Power: The History of the Soviet Union from 1917 to the Present
1982,"Huxley, Aldous",The Genius and the Goddess
1982,"Lawrence, D. H. ",Sons and Lovers; St. Mawr; The Fox; White Peacock; Love Among the Haystacks; Virgin and the Gipsy; Lady Chatterley's Lover
1983,"Auden, W. H.; Pearson, N. H (Ed.)",The Oxford Library of World's Great Books: Romantic Poets: William Blake to Edgar Allan Poe
1983,"Karnow, Stanley",Vietnam: A History
1983,"Márquez, Gabriel Garcia",One Hundred Years of Solitude
1984,"Carroll, Lewis",The Complete Illustrated Works of Lewis Carroll
1984,"Kelly, Paul",The Hawke Ascendancy
1985,"Garraty, John A.; Gay, Peter (Ed.)",The University History of the World
1985,"Kundera, Milan",The Unbearable Being of Lightness
1985,"Rand, Ayn",Atlas Shrugged
1985,"Thomas, Lewis",The Youngest Science
1985,"Wilde, Oscar",The Picture of Dorian Gray
1987,"Bloom, Allan",The Closing of the American Mind: How Higher Education has Failed Demoracy and Impoverished the Soul of Today's Students
1987,"Gleick, James",Chaos
1987,"Spivak, Gayatri Chakravorty",In Other Worlds: Essays in Cultural Politics
1988,"Hawthorne, Nathaniel",The Blithedale Romance 
1988,"Suskind, Patrick",The Pigeon
1989,"Dalley, Stephanie","Myths from Mesopotamia (Creation; Flood; Gilgamesh, and others) "
1989,"Eco, Umberto",Foucault's Pendulum
1989,"Fromkin, David",A Peace to End All Peace
1989,"Sethna, K. D.",Blake's Tyger: A Christological Interpretation
1990,"Bryson, Bill",Mother Tongue: The English Language
1990,"Byatt, A. S. ",Possession: A Romance
1990,"Thomas, Lewis","Et Cetera, Et Cetera: Notes of a Word-Watcher"
1991,"Kant, Immanuel",Political Writings
1991,"Said, Edward W. ","The World, the Text, and the Critic"
1991,"Wilde, Oscar",Picture of Dorian Grey; Complete Short Stories; Importance of Being Earnest and Other Plays
1992,"Fukuyama, Francis",The End of History and the Last Man
1992,"Kierkegaard, Søren",Either/Or; A Fragment of Life
1992,"Paglia, Camille","Sex, Art, and American Culture"
1992,"Woolf, Virginia",To the Lighthouse
1992,"Woolf, Virginia",Mrs Dalloway
1993,"Cervantes, Miguel de",Don Quixote
1993,"Joyce, James",Ulysses
1993,"Montaigne, Michel de",The Essays: A Selection
1993,,"When, Where, Why, and How it Happened"
1994,"Coleridge, Samuel Taylor",Selected Poetry
1994,"de Tocqueville, Alexis",Democracy in America 
1994,"Kissinger, Henry",Diplomacy
1994,"McBratney, Sam",Guess How Much I Love You
1994,"Porter, Eleanor, H. ",Pollyanna
1994,"Yeats, William Butler",The Collected Poems of W. B. Yeats
1995,"Donald, David Herbert",Lincoln
1995,"Pope, Alexander",The Works of Alexander Pope
1996,"Burgess, Anthony",A Clockwork Orange
1996,"Chomsky, Noam",Power & Prospects
1996,"Schultz, Charles",Love Isn't Easy
1997,"Eliot, George",The Mill on the Floss
1997,"Freud, Sigmund ",The Interpretation of Dreams
1997,"Nietzsche, Friedrich Wilhelm",Thus Spake Zarathustra
1998,"Gibran, Kahlil",The Prophet
1998,"Goethe, Johann Wolfgang von",Maxims and Reflections
1998,"Heaney, Seamus",Opened Ground: Poems 1966-1996
1999,"Hawthorne, Nathaniel",The Scarlet Letter
1999,"Peterson, Jordan B.",Maps of Meaning
1999,,Quotations
2001,"Browning, Christopher R. ",Ordinary Men
2002,Aristophanes,"Lysistrata and Other Plays (Acharnians, Clouds)"
2002,"Jenkins, Roy",Churchill: A Biography
2003,"Erasmus, Desiderius",In Praise of Folly
2003,"Flaubert, Gustave",Sentimental Education
2003,"Proust, Marcel",In Search of Lost Time VI: Time Regained
2003,"Proust, Marcel",In Search of Lost Time V: The Captive Fugitive
2003,"Proust, Marcel",In Search of Lost Time IV: Sodom and Gomorrah
2003,"Proust, Marcel",In Search of Lost Time III: The Guermantes Way
2003,"Proust, Marcel",In Search of Lost Time II: Within A Budding Grove
2003,"Proust, Marcel",In Search of Lost Time I: Swann's Way
2003,"Wilde, Oscar",The Importance of Being Earnest
2004,"Chernow, Ron",Alexander Hamilton
2004,"Lee, Harper",To Kill A Mockingbird
2004,"Tolstoy, Lev",Great Short Works
2005,"Chang, Jung; Halliday, Jon",MAO: The Unknown Story
2005,"Clark, Kenneth",Leonardo da Vinci
2005,"Packer, George",The Assassin's Gate: America in Iraq
2005,"Rapport, Michael",Nineteenth-Century Europe
2006,"Friedman, Thomas L. ",The World is Flat
2006,"Stevenson, Robert Louis",Strange Case of Dr Jekyll and Mr Hyde and Other Tales
2007,"Brontë, Charlotte",Jane Eyre
2007,"Fielding, Henry",Tom Jones
2007,"Strassler, Robert B. ",The Landmark Herodotus: The Histories
